auteur;titre;annee;nb_tokens_texte;Entite;Label;latitude;longitude;caractere_debut;caractere_fin;contexte_gauche;contexte_droit
ADAM;Mon-village;année ;32918;curel;ORG;0;0;13;18;;" c'est impardonnable.
Vous quitterez la communel
- Ce pauvre cure de Mlorlincourtl dit un
chacun, si parlant, si brave hommel On ne
sait pas; peut-etre bien qu'au lieu d'un mau-
vais cure il eit fait "
ADAM;Mon-village;année ;32918;Mlorlincourtl;PER;0;0;87;100;;" dit un
chacun, si parlant, si brave hommel On ne
sait pas; peut-etre bien qu'au lieu d'un mau-
vais cure il eit fait un bon mari.
- Des histoires de cure, il en pleutl dit le
pere Roux; maisje penche"
ADAM;Mon-village;année ;32918;eit;ORG;0;0;209;212;"us, curel c'est impardonnable.
Vous quitterez la communel
- Ce pauvre cure de Mlorlincourtl dit un
chacun, si parlant, si brave hommel On ne
sait pas; peut-etre bien qu'au lieu d'un mau-
vais cure il ";" fait un bon mari.
- Des histoires de cure, il en pleutl dit le
pere Roux; maisje penche toujours pour celle
de dfunt mon grand-oncle:
Ne trouva-t-il point un jour defunte ma
-----------------e----a--"
ADAM;Mon-village;année ;32918;Roux;PER;0;0;281;285;"re de Mlorlincourtl dit un
chacun, si parlant, si brave hommel On ne
sait pas; peut-etre bien qu'au lieu d'un mau-
vais cure il eit fait un bon mari.
- Des histoires de cure, il en pleutl dit le
pere ";"; maisje penche toujours pour celle
de dfunt mon grand-oncle:
Ne trouva-t-il point un jour defunte ma
-----------------e----a---------esssasassaa.LLL.., ..g-----
MO N VILLAGE.
grand'tante en conversat"
ADAM;Mon-village;année ;32918;LLL;MISC;0;0;431;434;"- Des histoires de cure, il en pleutl dit le
pere Roux; maisje penche toujours pour celle
de dfunt mon grand-oncle:
Ne trouva-t-il point un jour defunte ma
-----------------e----a---------esssasassaa.";".., ..g-----
MO N VILLAGE.
grand'tante en conversation (pour bien parler
devant les bonnets blancs) avec le receveur
des dimes de son village. Il n'y avait guere de
justice alors pour un simple berger"
ADAM;Mon-village;année ;32918;MO N VILLAGE;ORG;0;0;447;459;"de cure, il en pleutl dit le
pere Roux; maisje penche toujours pour celle
de dfunt mon grand-oncle:
Ne trouva-t-il point un jour defunte ma
-----------------e----a---------esssasassaa.LLL.., ..g-----
";".
grand'tante en conversation (pour bien parler
devant les bonnets blancs) avec le receveur
des dimes de son village. Il n'y avait guere de
justice alors pour un simple berger. En criant
fort, defunt "
ADAM;Mon-village;année ;32918;voila;PER;0;0;707;712;"devant les bonnets blancs) avec le receveur
des dimes de son village. Il n'y avait guere de
justice alors pour un simple berger. En criant
fort, defunt mon grand-oncle pouvait arriver
 se voir pendu, ";" tout. Il prit donc le
parti de faire semblant de rire. Bien mieux,
sur place, il commanda a sa femme de cuire
des gauffres. Il y a maniere de s'arranger.
Deux heures apres il reportait monsieur le
cu"
ADAM;Mon-village;année ;32918;creve;PER;0;0;1158;1163;"re. Or, le lendemain se trouvait etre un
dimanche. Lasl mes camarades, dans le vil-
lage, les plus bigots se virent forces de se
passer de messe, parce que monsieur le cure
etait, sauf votre respect, ";".
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
"
ADAM;Mon-village;année ;32918;ve-;PER;0;0;1219;1222;"amarades, dans le vil-
lage, les plus bigots se virent forces de se
passer de messe, parce que monsieur le cure
etait, sauf votre respect, creve.
De profunlis l
.- De profundis l repeta Jeacquet, qui ";"
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacqu"
ADAM;Mon-village;année ;32918;Dicu;LOC;0.5283;41.252701;1276;1280;"rces de se
passer de messe, parce que monsieur le cure
etait, sauf votre respect, creve.
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon ";" ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est de"
ADAM;Mon-village;année ;32918;amel;PER;0;0;1298;1302;"esse, parce que monsieur le cure
etait, sauf votre respect, creve.
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son ";"
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-e"
ADAM;Mon-village;année ;32918;IIIMON;MISC;0;0;1305;1311;"arce que monsieur le cure
etait, sauf votre respect, creve.
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
";" VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le"
ADAM;Mon-village;année ;32918;gca;ORG;0;0;1351;1354;"spect, creve.
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres ";", dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je so"
ADAM;Mon-village;année ;32918;Rose;PER;0;0;1363;1367;".
De profunlis l
.- De profundis l repeta Jeacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
";".
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le"
ADAM;Mon-village;année ;32918;Rose;MISC;0;0;1406;1410;"eacquet, qui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la ";",
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le mot de Jeac-
quet ne te porte pas malheurl"
ADAM;Mon-village;année ;32918;Jeacquet;PER;0;0;1416;1424;"ui ve-
nait d'entrer. Vous parlez d'un cure mort
Que le bon Dicu ait pitie de son amel
h
IIIMON VILLAGE.
- Il en a bien besoin d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit ";", tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le mot de Jeac-
quet ne te porte pas malheurl
-----------LA"
ADAM;Mon-village;année ;32918;Rose;MISC;0;0;1543;1547;"d'apres gca, dit la
Rose.
-Tu deviens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la ";", je souhaite que le mot de Jeac-
quet ne te porte pas malheurl
-----------LA R0SE
----LA ROSE.
A force, a force de payer ses galants,
a d'ecoute s'il pleut n et de les voir accourir
tout de meme, la "
ADAM;Mon-village;année ;32918;Jeac-;LOC;47.36818155;-68.33814235735099;1575;1580;"viens par trop gouailleuse, la Rose,
dit Jeacquet, tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le mot de ";"
quet ne te porte pas malheurl
-----------LA R0SE
----LA ROSE.
A force, a force de payer ses galants,
a d'ecoute s'il pleut n et de les voir accourir
tout de meme, la ose devenait un brin trop
acrimon"
ADAM;Mon-village;année ;32918;R0SE;MISC;0;0;1625;1629;" tu tourneras mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le mot de Jeac-
quet ne te porte pas malheurl
-----------LA ";"
----LA ROSE.
A force, a force de payer ses galants,
a d'ecoute s'il pleut n et de les voir accourir
tout de meme, la ose devenait un brin trop
acrimonieuse; fiere comme Artaban, elle s'il-
lusionnait"
ADAM;Mon-village;année ;32918;ROSE;MISC;0;0;1637;1641;"s mal.
- Je vois a mes etoiles qu'il est dejh tard,
allons-nous-en, dit le vieux berger. (Quant h
toi, la Rose, je souhaite que le mot de Jeac-
quet ne te porte pas malheurl
-----------LA R0SE
----LA ";".
A force, a force de payer ses galants,
a d'ecoute s'il pleut n et de les voir accourir
tout de meme, la ose devenait un brin trop
acrimonieuse; fiere comme Artaban, elle s'il-
lusionnait au point de"
ADAM;Mon-village;année ;32918;Artaban;PER;0;0;1799;1806;"as malheurl
-----------LA R0SE
----LA ROSE.
A force, a force de payer ses galants,
a d'ecoute s'il pleut n et de les voir accourir
tout de meme, la ose devenait un brin trop
acrimonieuse; fiere comme ";", elle s'il-
lusionnait au point de croire qu'elle serait
toujours pareillement festoyee. Aussi les gar-
cons, pour la faire endever, ne trouvaient-ils
rien de micux que de lui parler mariage.
M'est a"
ADAM;Mon-village;année ;32918;MOoN vILLAGE;PER;0;0;2212;2224;"e ce n'etait pas un manque de
reflexion qui faisait rcfuser,  cette jeunesse,
par ainsi les epouseurs. Une pireuve, c'est que
1. Locution qui correspond   Va voir dehors sij'y suis.n
-----
-rr-rc-
40
";".
d'aucunes fois la fillette pretendait que, dans
nos pays, une femme mariee et une bete
de somme, c'est approchant la meme chose.
Adonc, que pour se mettre la corde au cou,
et, au respect que je vous"
ADAM;Mon-village;année ;32918;Adonc;PER;0;0;2355;2360;"orrespond   Va voir dehors sij'y suis.n
-----
-rr-rc-
40
MOoN vILLAGE.
d'aucunes fois la fillette pretendait que, dans
nos pays, une femme mariee et une bete
de somme, c'est approchant la meme chose.
";", que pour se mettre la corde au cou,
et, au respect que je vous dois, faire cinq ou
six mioches, il n'y a jamais de presse.
Norine disait, quand elle se ramentevait
tous les partis que sa fille avait"
ADAM;Mon-village;année ;32918;Norine;LOC;38.801455000000004;-90.34917769484477;2485;2491;"ne femme mariee et une bete
de somme, c'est approchant la meme chose.
Adonc, que pour se mettre la corde au cou,
et, au respect que je vous dois, faire cinq ou
six mioches, il n'y a jamais de presse.
";" disait, quand elle se ramentevait
tous les partis que sa fille avait rejetes: a As-
sure qu'il nous faudra attendre monsieur Plai-
sant. n
Depuis quelques semaines, d'apres la con-
naissance qu'un ch"
ADAM;Mon-village;année ;32918;As-;LOC;-14.297124;-170.7131481;2572;2575;"e mettre la corde au cou,
et, au respect que je vous dois, faire cinq ou
six mioches, il n'y a jamais de presse.
Norine disait, quand elle se ramentevait
tous les partis que sa fille avait rejetes: a ";"
sure qu'il nous faudra attendre monsieur Plai-
sant. n
Depuis quelques semaines, d'apres la con-
naissance qu'un chacun possedait de la ma-
niere d'etre de la Rose, on ne se faisait pas
faute de rema"
ADAM;Mon-village;année ;32918;Plaisant lh;PER;0;0;2947;2958;"se faisait pas
faute de remarquer qu'elle aimait moins 
badiner du mariage, et que le dimanche, 
rebours d'autrefois, elle s'en allait bagucnau-
der dans les pres avec un seul galant.
Or, ce monsieur ";" n'etait autre
que Pierre le dragon. J.a fille h Norine l'avaitMON VILLAGE.
adopte, comme ca, tout d'un coup. D'aucunes,
en gouaillant, soutenaient qu'elle ne le choi-
sissait que par rapport  son cos"
ADAM;Mon-village;année ;32918;Pierre le dragon;PER;0;0;2977;2993;"uer qu'elle aimait moins 
badiner du mariage, et que le dimanche, 
rebours d'autrefois, elle s'en allait bagucnau-
der dans les pres avec un seul galant.
Or, ce monsieur Plaisant lh n'etait autre
que ";". J.a fille h Norine l'avaitMON VILLAGE.
adopte, comme ca, tout d'un coup. D'aucunes,
en gouaillant, soutenaient qu'elle ne le choi-
sissait que par rapport  son costume. Faut
convenir que beaucoup de"
ADAM;Mon-village;année ;32918;Norine;LOC;38.801455000000004;-90.34917769484477;3007;3013;"ner du mariage, et que le dimanche, 
rebours d'autrefois, elle s'en allait bagucnau-
der dans les pres avec un seul galant.
Or, ce monsieur Plaisant lh n'etait autre
que Pierre le dragon. J.a fille h ";" l'avaitMON VILLAGE.
adopte, comme ca, tout d'un coup. D'aucunes,
en gouaillant, soutenaient qu'elle ne le choi-
sissait que par rapport  son costume. Faut
convenir que beaucoup de bonnets blancs ont
"
ADAM;Mon-village;année ;32918;ca;MISC;0;0;3048;3050;"urs d'autrefois, elle s'en allait bagucnau-
der dans les pres avec un seul galant.
Or, ce monsieur Plaisant lh n'etait autre
que Pierre le dragon. J.a fille h Norine l'avaitMON VILLAGE.
adopte, comme ";", tout d'un coup. D'aucunes,
en gouaillant, soutenaient qu'elle ne le choi-
sissait que par rapport  son costume. Faut
convenir que beaucoup de bonnets blancs ont
une espece de faiblesse pour tout ce "
ADAM;Mon-village;année ;32918;ca;MISC;0;0;3275;3277;"es,
en gouaillant, soutenaient qu'elle ne le choi-
sissait que par rapport  son costume. Faut
convenir que beaucoup de bonnets blancs ont
une espece de faiblesse pour tout ce qui ter-
luit. Expliquez ";".
Notre maltre d'ccole ne voyait pas d'un
bon eil l'amitie de Pierre et de la Rose qui,
dans notre pays, passait,  bon droit, pour
une enjoleuse. Un jour il dit a son fieu:
- Pierre, prends garde h ta"
ADAM;Mon-village;année ;32918;Rose;LOC;39.398495;16.287193;3355;3359;"costume. Faut
convenir que beaucoup de bonnets blancs ont
une espece de faiblesse pour tout ce qui ter-
luit. Expliquez ca.
Notre maltre d'ccole ne voyait pas d'un
bon eil l'amitie de Pierre et de la ";" qui,
dans notre pays, passait,  bon droit, pour
une enjoleuse. Un jour il dit a son fieu:
- Pierre, prends garde h ta bonne amie;
je lui vois des yeux  la perdition de son ame.
Cette jeunesse-l ne se"
ADAM;Mon-village;année ;32918;enjoleuse;MISC;0;0;3412;3421;"
une espece de faiblesse pour tout ce qui ter-
luit. Expliquez ca.
Notre maltre d'ccole ne voyait pas d'un
bon eil l'amitie de Pierre et de la Rose qui,
dans notre pays, passait,  bon droit, pour
une ";". Un jour il dit a son fieu:
- Pierre, prends garde h ta bonne amie;
je lui vois des yeux  la perdition de son ame.
Cette jeunesse-l ne sera jamais une fameuse
ouvriere ; d'apres, je serais fache qu'i"
ADAM;Mon-village;année ;32918;Rose;MISC;0;0;3749;3753;"se-l ne sera jamais une fameuse
ouvriere ; d'apres, je serais fache qu'il lui sur-
vicnne tquelque malheur.
- C'est histoire de passer le temps, repon-
dit le dragon, et, de plus, on sait bien que la
";" ne s'est jamais derangee avec ame qui
vive.MON VILLAGE.
C'etait hardiment vrai.
Adonc, sit0t la veillee, au lieu de rentrer
chez son pere, comme de coutume, Pierre prit
le chemin de la montagne. Quan"
ADAM;Mon-village;année ;32918;Adonc;PER;0;0;3834;3839;"cnne tquelque malheur.
- C'est histoire de passer le temps, repon-
dit le dragon, et, de plus, on sait bien que la
Rose ne s'est jamais derangee avec ame qui
vive.MON VILLAGE.
C'etait hardiment vrai.
";", sit0t la veillee, au lieu de rentrer
chez son pere, comme de coutume, Pierre prit
le chemin de la montagne. Quand la derniere
chandelle fut soufflde, il revint sur ses pas, re-
traversa le village, "
ADAM;Mon-village;année ;32918;veillee;LOC;48.3795382;-1.3915584;3850;3857;"lheur.
- C'est histoire de passer le temps, repon-
dit le dragon, et, de plus, on sait bien que la
Rose ne s'est jamais derangee avec ame qui
vive.MON VILLAGE.
C'etait hardiment vrai.
Adonc, sit0t la ";", au lieu de rentrer
chez son pere, comme de coutume, Pierre prit
le chemin de la montagne. Quand la derniere
chandelle fut soufflde, il revint sur ses pas, re-
traversa le village, sauta une haie, pa"
ADAM;Mon-village;année ;32918;Pierre;MISC;0;0;3911;3917;"gon, et, de plus, on sait bien que la
Rose ne s'est jamais derangee avec ame qui
vive.MON VILLAGE.
C'etait hardiment vrai.
Adonc, sit0t la veillee, au lieu de rentrer
chez son pere, comme de coutume, ";" prit
le chemin de la montagne. Quand la derniere
chandelle fut soufflde, il revint sur ses pas, re-
traversa le village, sauta une haie, par-ci, par-
la, et ne fit mine de s'arreter que, devinez oi?
"
ADAM;Mon-village;année ;32918;soufflde;PER;0;0;3981;3989;"ec ame qui
vive.MON VILLAGE.
C'etait hardiment vrai.
Adonc, sit0t la veillee, au lieu de rentrer
chez son pere, comme de coutume, Pierre prit
le chemin de la montagne. Quand la derniere
chandelle fut ";", il revint sur ses pas, re-
traversa le village, sauta une haie, par-ci, par-
la, et ne fit mine de s'arreter que, devinez oi?
dans le courtil de Norine. De meme que moi,
bien vous pensez qu'il y ava"
ADAM;Mon-village;année ;32918;Norine;LOC;38.801455000000004;-90.34917769484477;4136;4142;"la montagne. Quand la derniere
chandelle fut soufflde, il revint sur ses pas, re-
traversa le village, sauta une haie, par-ci, par-
la, et ne fit mine de s'arreter que, devinez oi?
dans le courtil de ";". De meme que moi,
bien vous pensez qu'il y avait, de donne et
d'accepte, un rendez-vous.
Le dragon se mit a monter la garde pendant
un quart d'heure,  l'horloge des autres, mais
au bout de dix minute"
ADAM;Mon-village;année ;32918;blmer;PER;0;0;4491;4496;",  l'horloge des autres, mais
au bout de dix minutes, il commenca  jurer
d'une belle facon, croyant etre l depuis deux
grandes heures. Si vous avez jamais attendu
pour le meme motif, vous n'oserez le ";".
bDoucettement, a la fin des fins, la Rose ou-
vrit laporte de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. A"
ADAM;Mon-village;année ;32918;bDoucettement;MISC;0;0;4498;4511;"rloge des autres, mais
au bout de dix minutes, il commenca  jurer
d'une belle facon, croyant etre l depuis deux
grandes heures. Si vous avez jamais attendu
pour le meme motif, vous n'oserez le blmer.
";", a la fin des fins, la Rose ou-
vrit laporte de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. Adonc, cherchant"
ADAM;Mon-village;année ;32918;Rose ou-;MISC;0;0;4535;4543;" minutes, il commenca  jurer
d'une belle facon, croyant etre l depuis deux
grandes heures. Si vous avez jamais attendu
pour le meme motif, vous n'oserez le blmer.
bDoucettement, a la fin des fins, la ";"
vrit laporte de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. Adonc, cherchant bien,
nos deux amoureux se renc"
ADAM;Mon-village;année ;32918;vrit laporte;PER;0;0;4544;4556;" il commenca  jurer
d'une belle facon, croyant etre l depuis deux
grandes heures. Si vous avez jamais attendu
pour le meme motif, vous n'oserez le blmer.
bDoucettement, a la fin des fins, la Rose ou-
";" de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. Adonc, cherchant bien,
nos deux amoureux se rencontrrent. Le "
ADAM;Mon-village;année ;32918;Pierre;MISC;0;0;4572;4578;"lle facon, croyant etre l depuis deux
grandes heures. Si vous avez jamais attendu
pour le meme motif, vous n'oserez le blmer.
bDoucettement, a la fin des fins, la Rose ou-
vrit laporte de sa chambre. ";" se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. Adonc, cherchant bien,
nos deux amoureux se rencontrrent. Le dra-
gon, dans la crai"
ADAM;Mon-village; année;32918;LL-.----------==-=x=-MON;LOC;0;0;4637;4661;"z jamais attendu
pour le meme motif, vous n'oserez le blmer.
bDoucettement, a la fin des fins, la Rose ou-
vrit laporte de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
";" vILLAGE.
nuit etait noire noire. Adonc, cherchant bien,
nos deux amoureux se rencontrrent. Le dra-
gon, dans la crainte de perdre sa bonne amie,
lui passa les deux bras autour du cou; et
puis, en man"
ADAM;Mon-village;année ;32918;Adonc;PER;0;0;4695;4700;"r.
bDoucettement, a la fin des fins, la Rose ou-
vrit laporte de sa chambre. Pierre se tenait
l'oreille au vent, il marcha droit au bruit; la
LL-.----------==-=x=-MON vILLAGE.
nuit etait noire noire. ";", cherchant bien,
nos deux amoureux se rencontrrent. Le dra-
gon, dans la crainte de perdre sa bonne amie,
lui passa les deux bras autour du cou; et
puis, en maniere de distraction, il l'embrassa
comm"
ADAM;Mon-village;année ;32918;Gaspard;PER;0;0;4985;4992;"perdre sa bonne amie,
lui passa les deux bras autour du cou; et
puis, en maniere de distraction, il l'embrassa
comme du pain blanc.
Cette jeunesse, je vous l'assure, ne se debat-
tait plus comme avec ";"; encore moins
criait-elle. Je crois meme qu'elle avait peur
que Pierre ne les compte, ces baisers-l.
- Pourquoi, dit la fille h Norine, m'as-tu
fait venir ici ce soir
Le dragon eut l'air de vouloir e"
ADAM;Mon-village;année ;32918;Pierre;MISC;0;0;5057;5063;" maniere de distraction, il l'embrassa
comme du pain blanc.
Cette jeunesse, je vous l'assure, ne se debat-
tait plus comme avec Gaspard; encore moins
criait-elle. Je crois meme qu'elle avait peur
que ";" ne les compte, ces baisers-l.
- Pourquoi, dit la fille h Norine, m'as-tu
fait venir ici ce soir
Le dragon eut l'air de vouloir et puis de
ne vouloir pas se declarer. Le temps se pas-
sait  donner et "
ADAM;Mon-village;année ;32918;Le dragon;MISC;0;0;5160;5169;"at-
tait plus comme avec Gaspard; encore moins
criait-elle. Je crois meme qu'elle avait peur
que Pierre ne les compte, ces baisers-l.
- Pourquoi, dit la fille h Norine, m'as-tu
fait venir ici ce soir
";" eut l'air de vouloir et puis de
ne vouloir pas se declarer. Le temps se pas-
sait  donner et a rendre des baisers en nom-
bre innombrable, si bel et si bien que la Rose
se vit encore forcee de redema"
