auteur;titre;annee;nb_tokens_texte;Entite;Label;latitude;longitude;caractere_debut;caractere_fin;contexte_gauche;contexte_droit
DAUDET;petit-chose;année ;117009;"LA FABRIQUE

Je suis";MISC;None ;None;0;20;;" né le 13 mai 18..., dans une ville du Languedoc, où l’on 1
trouve, comme dans toutes les villes du Midi, beaucoup de soleil, pas
mal de poussière, un couvent de Carmélites et deux ou trois monuments
"
DAUDET;petit-chose;année ;117009;Languedoc;LOC;48.807574;-78.6959527;59;68;;", où l’on 1
trouve, comme dans toutes les villes du Midi, beaucoup de soleil, pas
mal de poussière, un couvent de Carmélites et deux ou trois monuments
romains.

Mon père, M. Eyssette, qui faisait à c"
DAUDET;petit-chose;année ;117009;Midi;LOC;16.171997;42.878637;120;124;;", beaucoup de soleil, pas
mal de poussière, un couvent de Carmélites et deux ou trois monuments
romains.

Mon père, M. Eyssette, qui faisait à cette époque le commerce des
foulards, avait, aux portes "
DAUDET;petit-chose;année ;117009;Carmélites;LOC;33.8793614;35.56934431535947;182;192;;" et deux ou trois monuments
romains.

Mon père, M. Eyssette, qui faisait à cette époque le commerce des
foulards, avait, aux portes de la ville, une grande fabrique dans un pan
de laquelle il s’était "
DAUDET;petit-chose;année ;117009;romains;LOC;48.5784144;7.7011516;220;227;" né le 13 mai 18..., dans une ville du Languedoc, où l’on 1
trouve, comme dans toutes les villes du Midi, beaucoup de soleil, pas
mal de poussière, un couvent de Carmélites et deux ou trois monuments
";".

Mon père, M. Eyssette, qui faisait à cette époque le commerce des
foulards, avait, aux portes de la ville, une grande fabrique dans un pan
de laquelle il s’était taillé une habitation commode, tout"
DAUDET;petit-chose;année ;117009;M. Eyssette;PER;None ;None;240;251;" dans une ville du Languedoc, où l’on 1
trouve, comme dans toutes les villes du Midi, beaucoup de soleil, pas
mal de poussière, un couvent de Carmélites et deux ou trois monuments
romains.

Mon père, ";", qui faisait à cette époque le commerce des
foulards, avait, aux portes de la ville, une grande fabrique dans un pan
de laquelle il s’était taillé une habitation commode, tout ombragée de
platanes et"
DAUDET;petit-chose;année ;117009;Bibliothèque nationale de France;LOC;48.8307097;2.3762873;863;895;"brique et des platanes un impérissable souvenir, et lorsqu’à
la ruine de mes parents il m’a fallu me séparer de ces choses, je les ai
positivement regrettées comme des êtres.

Source gallica.bnf.fr / ";"

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire, pour commencer, que ma naissance ne porta pas
bonheur à la maison Eyssette. La vieille Annou, notre cuisinière, m’a
souvent conté depuis comm"
DAUDET;petit-chose;année ;117009;"PE

 

 

 

US

Je dois dire";MISC;None ;None;923;952;"
la ruine de mes parents il m’a fallu me séparer de ces choses, je les ai
positivement regrettées comme des êtres.

Source gallica.bnf.fr / Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

";", pour commencer, que ma naissance ne porta pas
bonheur à la maison Eyssette. La vieille Annou, notre cuisinière, m’a
souvent conté depuis comme quoi mon père, en voyage à ce moment,
reçut en même tem"
DAUDET;petit-chose;année ;117009;Eyssette;LOC;43.8110669;4.480824;1020;1028;" comme des êtres.

Source gallica.bnf.fr / Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire, pour commencer, que ma naissance ne porta pas
bonheur à la maison ";". La vieille Annou, notre cuisinière, m’a
souvent conté depuis comme quoi mon père, en voyage à ce moment,
reçut en même temps la nouvelle de mon apparition dans le monde et
celle de la disparition d’"
DAUDET;petit-chose;année ;117009;Annou;LOC;43.3959145;-0.2908034;1041;1046;"urce gallica.bnf.fr / Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

PE

 

 

 

US

Je dois dire, pour commencer, que ma naissance ne porta pas
bonheur à la maison Eyssette. La vieille ";", notre cuisinière, m’a
souvent conté depuis comme quoi mon père, en voyage à ce moment,
reçut en même temps la nouvelle de mon apparition dans le monde et
celle de la disparition d’un de ses clients "
DAUDET;petit-chose;année ;117009;Marseille;LOC;43.2961743;5.3699525;1249;1258;"otre cuisinière, m’a
souvent conté depuis comme quoi mon père, en voyage à ce moment,
reçut en même temps la nouvelle de mon apparition dans le monde et
celle de la disparition d’un de ses clients de ";", qui lui emportait
plus de quarante mille francs ; si bien que M. Eyssette, heureux et
désolé du même coup, se demandait, comme l’autre, s’il devait pleurer
pour la disparition du client de Marseille"
DAUDET;petit-chose;année ;117009;M. Eyssette;PER;None ;None;1322;1333;"à ce moment,
reçut en même temps la nouvelle de mon apparition dans le monde et
celle de la disparition d’un de ses clients de Marseille, qui lui emportait
plus de quarante mille francs ; si bien que ";", heureux et
désolé du même coup, se demandait, comme l’autre, s’il devait pleurer
pour la disparition du client de Marseille, ou rire pour l’heureuse
arrivée du petit Daniel... Il fallait pleurer, mo"
DAUDET;petit-chose;année ;117009;Marseille;LOC;43.2961743;5.3699525;1449;1458;"Marseille, qui lui emportait
plus de quarante mille francs ; si bien que M. Eyssette, heureux et
désolé du même coup, se demandait, comme l’autre, s’il devait pleurer
pour la disparition du client de ";", ou rire pour l’heureuse
arrivée du petit Daniel... Il fallait pleurer, mon bon monsieur Eyssette,
il fallait pleurer doublement.

C’est une vérité, je fus la mauvaise étoile de mes parents. Du jour
"
DAUDET;petit-chose;année ;117009;Daniel;PER;None ;None;1501;1507;"francs ; si bien que M. Eyssette, heureux et
désolé du même coup, se demandait, comme l’autre, s’il devait pleurer
pour la disparition du client de Marseille, ou rire pour l’heureuse
arrivée du petit ";"... Il fallait pleurer, mon bon monsieur Eyssette,
il fallait pleurer doublement.

C’est une vérité, je fus la mauvaise étoile de mes parents. Du jour
de ma naissance, d’incroyables malheurs les assai"
DAUDET;petit-chose;année ;117009;Eyssette;PER;None ;None;1548;1556;"solé du même coup, se demandait, comme l’autre, s’il devait pleurer
pour la disparition du client de Marseille, ou rire pour l’heureuse
arrivée du petit Daniel... Il fallait pleurer, mon bon monsieur ";",
il fallait pleurer doublement.

C’est une vérité, je fus la mauvaise étoile de mes parents. Du jour
de ma naissance, d’incroyables malheurs les assaillirent par vingt
endroits. D'abord nous eûmes do"
DAUDET;petit-chose;année ;117009;Marseille;LOC;43.2961743;5.3699525;1772;1781;"urer doublement.

C’est une vérité, je fus la mauvaise étoile de mes parents. Du jour
de ma naissance, d’incroyables malheurs les assaillirent par vingt
endroits. D'abord nous eûmes donc le client de ";", puis deux
fois le feu dans la même année, puis la grève des ourdisseuses, puis
notre brouille avec l’oncle Baptiste, puis un procès très coûteux avec
nos marchands de couleurs, puis, enfin, la Révol"
DAUDET;petit-chose;année ;117009;Baptiste;PER;None ;None;1890;1898;"alheurs les assaillirent par vingt
endroits. D'abord nous eûmes donc le client de Marseille, puis deux
fois le feu dans la même année, puis la grève des ourdisseuses, puis
notre brouille avec l’oncle ";", puis un procès très coûteux avec
nos marchands de couleurs, puis, enfin, la Révolution de 18.., qui
nous donna le coup de grâce.

À partir de ce moment, la fabrique ne battit plus que d’une aile ;
p"
DAUDET;petit-chose;année ;117009;Révolution de 18;MISC;None ;None;1976;1992;"eille, puis deux
fois le feu dans la même année, puis la grève des ourdisseuses, puis
notre brouille avec l’oncle Baptiste, puis un procès très coûteux avec
nos marchands de couleurs, puis, enfin, la ";".., qui
nous donna le coup de grâce.

À partir de ce moment, la fabrique ne battit plus que d’une aile ;
petit à petit, les ateliers se vidèrent : chaque semaine un métier à bas,
chaque mois une table"
DAUDET;petit-chose;année ;117009;M.;PER;None ;None;2758;2760;"e des ateliers ne sonna
pas, le puits à roue cessa de grincer, l’eau des grands bassins, dans
lesquels on lavait les tissus, demeura immobile, et bientôt, dans toute
la fabrique, il ne resta plus que ";" et Mme Eyssette, la vieille Annou,
mon frère Jacques et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge Colombe et son fils le petit Rouget.

C'était fini, nous étions ruinés"
DAUDET;petit-chose;année ;117009;Mme Eyssette;PER;None ;None;2764;2776;"ateliers ne sonna
pas, le puits à roue cessa de grincer, l’eau des grands bassins, dans
lesquels on lavait les tissus, demeura immobile, et bientôt, dans toute
la fabrique, il ne resta plus que M. et ";", la vieille Annou,
mon frère Jacques et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge Colombe et son fils le petit Rouget.

C'était fini, nous étions ruinés.

J'avais alors"
DAUDET;petit-chose;année ;117009;Annou;LOC;43.3959145;-0.2908034;2789;2794;" puits à roue cessa de grincer, l’eau des grands bassins, dans
lesquels on lavait les tissus, demeura immobile, et bientôt, dans toute
la fabrique, il ne resta plus que M. et Mme Eyssette, la vieille ";",
mon frère Jacques et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge Colombe et son fils le petit Rouget.

C'était fini, nous étions ruinés.

J'avais alors six ou sept ans. "
DAUDET;petit-chose;année ;117009;Jacques;PER;None ;None;2806;2813;"sa de grincer, l’eau des grands bassins, dans
lesquels on lavait les tissus, demeura immobile, et bientôt, dans toute
la fabrique, il ne resta plus que M. et Mme Eyssette, la vieille Annou,
mon frère ";" et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge Colombe et son fils le petit Rouget.

C'était fini, nous étions ruinés.

J'avais alors six ou sept ans. Comme j'étais très "
DAUDET;petit-chose;année ;117009;Colombe;PER;None ;None;2890;2897;" immobile, et bientôt, dans toute
la fabrique, il ne resta plus que M. et Mme Eyssette, la vieille Annou,
mon frère Jacques et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge ";" et son fils le petit Rouget.

C'était fini, nous étions ruinés.

J'avais alors six ou sept ans. Comme j'étais très frêle et maladif,
mes parents n’avaient pas voulu m'envoyer à l’école. Ma mère m'ava"
DAUDET;petit-chose;année ;117009;Rouget;PER;None ;None;2919;2925;"oute
la fabrique, il ne resta plus que M. et Mme Eyssette, la vieille Annou,
mon frère Jacques et moi ; puis, là-bas, dans le fond, pour garder les
ateliers, le concierge Colombe et son fils le petit ";".

C'était fini, nous étions ruinés.

J'avais alors six ou sept ans. Comme j'étais très frêle et maladif,
mes parents n’avaient pas voulu m'envoyer à l’école. Ma mère m'avait
seulement appris à lire e"
DAUDET;petit-chose;année ;117009;Ma mère m';PER;None ;None;3084;3094;"ierge Colombe et son fils le petit Rouget.

C'était fini, nous étions ruinés.

J'avais alors six ou sept ans. Comme j'étais très frêle et maladif,
mes parents n’avaient pas voulu m'envoyer à l’école. ";"avait
seulement appris à lire et à écrire, plus quelques mots d’espagnol et
deux ou trois airs de guitare, à l’aide desquels on m'avait fait, dans la
famille, une réputation de petit prodige. Grâce à "
